,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,SUM
,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,
,TCO2E_CHEM_APPL,TCO2E_CROP_MGT,TCO2E_CULTIV,TCO2E_FERT_PROD,TCO2E_HARVEST,TCO2E_IRRIG,TCO2E_PEST_PROD,TCO2E_SOIL_N_SURP,TCO2E_SOWING,TCO2E_DRN_WATER,TCO2E_DUNG_URINE,TCO2E_ELEC,TCO2E_ENTERIC,TCO2E_FODDER,TCO2E_FUEL,TCO2E_IND_LEACH_RUNOFF,TCO2E_IRR_WATER,TCO2E_MANURE_MGT,TCO2E_SEED,TCO2E_CHEM_APPL,TCO2E_CROP_MGT,TCO2E_CULTIV,TCO2E_FERT_PROD,TCO2E_HARVEST,TCO2E_IRRIG,TCO2E_PEST_PROD,TCO2E_SOIL_N_SURP,TCO2E_SOWING,TCO2E_DRN_WATER,TCO2E_DUNG_URINE,TCO2E_ELEC,TCO2E_ENTERIC,TCO2E_FODDER,TCO2E_FUEL,TCO2E_IND_LEACH_RUNOFF,TCO2E_IRR_WATER,TCO2E_MANURE_MGT,TCO2E_SEED,
Hay,10078.217463879542,358.01865911396675,110377.44126243448,339985.31192792056,573.1061207163625,0.0,86993.4515713201,5808.9257594997725,7898.567668735981,789.1584088859107,40126.438784548314,403.9547983855009,456316.5024090587,7407.644126841558,145748.6503993922,19733.668326249754,84936.95739984,497.51920912869747,10201.949057683554,1913.1650206537597,286.2409801110225,11815.26287430935,75795.82409902808,438.2308542886035,8988.283131707545,9035.572268436797,1665.5829994897667,895.303949897603,234.88491041958332,3939.071076273918,1342.3080661296844,41469.90909385681,2047.15777862072,11320.414745502174,4568.357038497925,11789.616676837206,848.992470214609,645.0347094349563,1517274.6960973456
Nuts,5091.213979005814,1392.8353157043457,3435.821661233902,7804.323091030121,1643.6961423158646,0.0,7244.149162769318,6578.901894569397,288.3986769914627,3.8769003339111805,241.85274934768677,0.0,2767.1018590927124,89.11167670786381,603.3579359054565,113.54837244749069,702.5260655879974,0.7373786859679967,175.46238545514643,1522.222011566162,465.7312808036804,1409.8532390594482,3384.327325820923,603.4213099479675,896.214019022882,2533.399977684021,2588.7892370224,82.66240608692169,1.2178234532475471,17.673312783241272,30.695441484451294,162.10128021240234,22.537107467651367,13.247847557067871,23.29240918159485,3.9091194570064545,13.099801421165466,28.828590393066406,51980.13878760976
Other non-cereal crops,2646.599398833382,996.7529002270217,2309.4453168582877,11993.224810056992,699.1862895517727,0.0,4448.382216194419,715.4110915060169,1473.7412485740347,23.436395670951697,1426.3266484697267,0.28373444080352783,15778.627048186227,297.35055440144157,4321.873751372496,681.5576201769395,2832.3946923109943,7.7789880669925715,527.310809808308,856.2608333230019,305.3409707453102,2031.47132396698,16738.050899505615,221.42210817337036,1825.2942129671574,1676.480676293373,1077.6218967437744,296.12936359643936,6.82982461899519,106.04012191295624,106.96596594154835,1076.7304239273071,93.94830119609833,266.8145949319005,136.43552935123444,367.9938279390335,51.27788550872356,68.59803569689393,78489.39031104653
Pears,8.001217186450958,0.0,16.762575149536133,168.69632720947266,0.6211496591567993,0.0,18.33173131942749,0.0,4.120099127292633,0.7179887890815735,41.759234607219696,0.0,481.186128616333,3.6409182101488113,109.97630476951599,19.55622199177742,59.68138265609741,0.14476942387409508,2.346432153135538,195.1660197377205,58.31225299835205,256.4472761154175,1130.9868755340576,75.55183982849121,356.83762645721436,376.8968896865845,174.60496187210083,14.924825370311737,1.5612400621175766,27.172630548477173,0.0,288.70346450805664,10.025760054588318,79.97177791595459,37.073176860809326,79.18009757995605,0.04915076680481434,1.746115580201149,4100.754462345736
Plantation fruit,2736.8697814941406,414.9391918182373,778.0109519958496,912.9990501403809,37.863203287124634,0.0,1697.4268035888672,444.13386726379395,25.93369948863983,0.24560566246509552,3.995837688446045,0.0,61.810556411743164,0.6478052288293839,2.8387649059295654,1.9492445588111877,29.017054557800293,0.04121199995279312,6.56467492878437,857.6070983409882,169.09850855357945,356.43406867980957,981.6486492156982,2.1519851684570312,203.65356093645096,215.18511068820953,426.98570919036865,2.5491816997528076,0.49414676427841187,7.652685642242432,0.28965234756469727,70.0235481262207,8.54294490814209,0.1443813443183899,10.068411827087402,35.423797607421875,5.228215456008911,2.4708224534988403,10510.939783969894
Rice,2081.6263730618166,810.42299385764,714.0105006517015,13586.402001866845,156.05062721598262,0.0,5601.669299201389,3844.687817268663,243.271912753582,0.06694457679986954,6.066219806671143,0.0,54.31415557861328,0.8833620548248291,5.002702713012695,2.8681983947753906,7.818156719207764,0.011684403754770756,30.3223819732666,536.8717639732089,3.8279975302728073,1882.8746760265628,35251.177004467856,291.884806374283,6735.1327620372,336.20158435980943,5522.699865028546,386.8953354583086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78093.0611273546
Sheep - modified land,41020.32317852974,127.37915086746216,19708.739049702883,279539.1031484604,6449.456649720669,0.0,46106.72950100899,178.40276527404785,19932.31336927414,8411.323755174131,659255.81283095,0.0,6463701.333296584,110182.7027374577,1249620.4819007067,321744.9731844664,1087059.8106984647,2773.961556310218,714004.9765646975,7605.013209283352,1404.465707750991,18051.005950450897,161086.2516899109,1044.0464763641357,18272.16300880909,13533.5453851223,14311.962666153908,2218.5223366618156,171.33072225376964,2752.351934313774,2447.4063879549503,29003.864347457886,2260.9320980235934,8460.408513635397,3088.3261744976044,8390.509274631739,1389.773526025936,1057.3233431465924,11326367.026090099
Sheep - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919.2865288472647,157313.34759544116,0.0,1509333.6891541304,28836.025403480293,131109.42185742216,80263.89837922664,249181.75353535678,700.4362035202543,97252.36568141705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255910.2243388416
Stone fruit,1128.1242419481277,423.44039964675903,976.0633442401886,4276.636246204376,132.25388091802597,0.0,1699.7332332134247,1067.7473273277283,65.92091038543731,4.547105073928833,156.75718384981155,0.0,1609.576120376587,31.799373745918274,283.93608129024506,75.02648541331291,542.9390041828156,0.7705759990494698,158.640850905329,2515.2734178263822,820.5021240460682,2429.086645911138,7347.768890264119,426.07265941668584,3661.3231131503094,3600.86718888084,2493.9839096295864,88.6444750521499,5.405781619718647,86.22424382498897,59.60172459483147,861.0049375970716,64.75208651301428,167.85786332301905,115.70304038372507,221.10028204807065,26.619017520605958,59.23064911196536,37684.93441543535
Sugar,25357.583958148956,0.0,93335.82926750183,478921.71365356445,4212.550247192383,0.0,117805.199842453,354281.7008304596,22289.63630580902,1.0259590148925781,14.888935565948486,25.85946750640869,136.56270599365234,18.98645305633545,11.160688400268555,19.622758865356445,92.16352462768555,11.035966873168945,24.28673267364502,4377.6222767829895,20.303238564170897,14366.49709224701,83634.26002693176,682.4134551286697,7979.4801216721535,22544.72466444969,47277.38549041748,4965.277506709099,29.42744743824005,455.73304414749146,17.249387964606285,4170.045112609863,508.74982500076294,8.598203904926777,599.5944924354553,354.34781646728516,311.35091376304626,147.14252376556396,1289010.0099381069
