,Cells prior [ # ],Cells after [ # ],Switches [ # ],Switches [ % ]
Beef - modified land (Ecological Grazing),0,41581,41581,inf
Dairy - modified land (Ecological Grazing),0,70,70,inf
Sheep - modified land (Ecological Grazing),0,18543,18543,inf
Total,0,60194,60194,1.0
